action;tote_batch_id;timestamp;location
tote-finished;837;2022-11-08 06:50:32.432000;consolidation
tote-finished;570;2022-11-08 06:50:39.205000;consolidation
add-to-batch_9;617;2022-11-08 06:50:46.957000;buffer
batch-consolidate-end;batch-7;2022-11-08 06:50:47.098000;consolidation
tote-finished;593;2022-11-08 06:50:47.098000;consolidation
add-to-batch_9;40;2022-11-08 06:51:04.502000;buffer
add-to-batch_9;816;2022-11-08 06:51:33.552000;buffer
batch-full;batch-9;2022-11-08 06:51:33.552000;buffer
batch-release;batch-9;2022-11-08 06:51:33.552000;buffer
batch-pick-start;batch-9;2022-11-08 06:51:33.552000;buffer
new-batch;batch-10;2022-11-08 06:52:13.931000;buffer
add-to-batch_10;594;2022-11-08 06:52:13.931000;buffer
add-to-batch_10;253;2022-11-08 06:52:39.919000;buffer
add-to-batch_10;399;2022-11-08 06:52:51.491000;buffer
add-to-batch_10;656;2022-11-08 06:52:52.217000;buffer
add-to-batch_10;798;2022-11-08 06:53:21.105000;buffer
add-to-batch_10;338;2022-11-08 06:53:24.610000;buffer
add-to-batch_10;578;2022-11-08 06:53:32.743000;buffer
add-to-batch_10;331;2022-11-08 06:54:48.303000;buffer
add-to-batch_10;978;2022-11-08 06:54:49.013000;buffer
add-to-batch_10;457;2022-11-08 06:55:22.876000;buffer
add-to-batch_10;28;2022-11-08 06:55:36.705000;buffer
add-to-batch_10;835;2022-11-08 06:55:56.793000;buffer
batch-full;batch-10;2022-11-08 06:55:56.793000;buffer
batch-release;batch-10;2022-11-08 06:55:56.793000;buffer
batch-pick-start;batch-10;2022-11-08 06:55:56.793000;buffer
new-batch;batch-11;2022-11-08 06:56:31.888000;buffer
add-to-batch_11;171;2022-11-08 06:56:31.888000;buffer
add-to-batch_11;786;2022-11-08 06:56:37.273000;buffer
add-to-batch_11;865;2022-11-08 06:57:00.449000;buffer
add-to-batch_11;493;2022-11-08 06:58:00.761000;buffer
add-to-batch_11;911;2022-11-08 06:58:20.752000;buffer
add-to-batch_11;270;2022-11-08 06:59:40.381000;buffer
add-to-batch_11;609;2022-11-08 06:59:53.112000;buffer
add-to-batch_11;10;2022-11-08 06:59:54.431000;buffer
add-to-batch_11;618;2022-11-08 07:00:02.735000;buffer
batch-pick-end;batch-9;2022-11-08 07:00:05.670000;buffer
batch-consolidate-start;batch-9;2022-11-08 07:00:05.670000;consolidation
tote-finished;473;2022-11-08 07:00:12.696000;consolidation
tote-finished;492;2022-11-08 07:00:19.091000;consolidation
tote-finished;921;2022-11-08 07:00:24.029000;consolidation
tote-finished;118;2022-11-08 07:00:30.678000;consolidation
tote-finished;137;2022-11-08 07:00:37.657000;consolidation
add-to-batch_11;428;2022-11-08 07:00:38.928000;buffer
tote-finished;206;2022-11-08 07:00:42.998000;consolidation
tote-finished;928;2022-11-08 07:00:48.166000;consolidation
tote-finished;792;2022-11-08 07:00:52.456000;consolidation
tote-finished;68;2022-11-08 07:00:58.552000;consolidation
tote-finished;617;2022-11-08 07:01:04.702000;consolidation
tote-finished;40;2022-11-08 07:01:10.518000;consolidation
add-to-batch_11;77;2022-11-08 07:01:14.457000;buffer
batch-consolidate-end;batch-9;2022-11-08 07:01:17.376000;consolidation
tote-finished;816;2022-11-08 07:01:17.376000;consolidation
add-to-batch_11;868;2022-11-08 07:01:18.004000;buffer
batch-full;batch-11;2022-11-08 07:01:18.004000;buffer
batch-release;batch-11;2022-11-08 07:01:18.004000;buffer
batch-pick-start;batch-11;2022-11-08 07:01:18.004000;buffer
new-batch;batch-12;2022-11-08 07:02:20.762000;buffer
add-to-batch_12;258;2022-11-08 07:02:20.762000;buffer
add-to-batch_12;576;2022-11-08 07:03:02.045000;buffer
batch-pick-end;batch-8;2022-11-08 07:03:37.187000;buffer
batch-consolidate-start;batch-8;2022-11-08 07:03:37.187000;consolidation
tote-finished;619;2022-11-08 07:03:43.735000;consolidation
add-to-batch_12;831;2022-11-08 07:03:46.982000;buffer
tote-finished;42;2022-11-08 07:03:50.706000;consolidation
tote-finished;977;2022-11-08 07:03:55.915000;consolidation
tote-finished;466;2022-11-08 07:04:00.324000;consolidation
tote-finished;136;2022-11-08 07:04:06.172000;consolidation
add-to-batch_12;748;2022-11-08 07:04:08.678000;buffer
add-to-batch_12;321;2022-11-08 07:04:10.195000;buffer
tote-finished;12;2022-11-08 07:04:12.443000;consolidation
tote-finished;225;2022-11-08 07:04:20.214000;consolidation
add-to-batch_12;13;2022-11-08 07:04:20.683000;buffer
tote-finished;965;2022-11-08 07:04:27.615000;consolidation
tote-finished;8;2022-11-08 07:04:32.713000;consolidation
add-to-batch_12;341;2022-11-08 07:04:36.651000;buffer
tote-finished;156;2022-11-08 07:04:38.934000;consolidation
tote-finished;764;2022-11-08 07:04:45.147000;consolidation
add-to-batch_12;975;2022-11-08 07:04:50.246000;buffer
batch-consolidate-end;batch-8;2022-11-08 07:04:50.799000;consolidation
tote-finished;476;2022-11-08 07:04:50.799000;consolidation
add-to-batch_12;771;2022-11-08 07:04:55.744000;buffer
add-to-batch_12;63;2022-11-08 07:05:05.337000;buffer
add-to-batch_12;908;2022-11-08 07:06:03.190000;buffer
add-to-batch_12;953;2022-11-08 07:06:35.407000;buffer
batch-full;batch-12;2022-11-08 07:06:35.407000;buffer
batch-release;batch-12;2022-11-08 07:06:35.407000;buffer
batch-pick-start;batch-12;2022-11-08 07:06:35.407000;buffer
new-batch;batch-13;2022-11-08 07:08:22.550000;buffer
add-to-batch_13;574;2022-11-08 07:08:22.550000;buffer
add-to-batch_13;467;2022-11-08 07:08:29.135000;buffer
batch-pick-end;batch-10;2022-11-08 07:08:53.345000;buffer
batch-consolidate-start;batch-10;2022-11-08 07:08:53.345000;consolidation
tote-finished;594;2022-11-08 07:09:01.558000;consolidation
add-to-batch_13;741;2022-11-08 07:09:05.453000;buffer
tote-finished;253;2022-11-08 07:09:08.446000;consolidation
add-to-batch_13;584;2022-11-08 07:09:11.644000;buffer
tote-finished;399;2022-11-08 07:09:13.329000;consolidation
tote-finished;656;2022-11-08 07:09:19.541000;consolidation
tote-finished;798;2022-11-08 07:09:26.762000;consolidation
tote-finished;338;2022-11-08 07:09:32.342000;consolidation
tote-finished;578;2022-11-08 07:09:39.115000;consolidation
tote-finished;331;2022-11-08 07:09:46.059000;consolidation
tote-finished;978;2022-11-08 07:09:52.925000;consolidation
tote-finished;457;2022-11-08 07:09:58.717000;consolidation
tote-finished;28;2022-11-08 07:10:04.215000;consolidation
batch-consolidate-end;batch-10;2022-11-08 07:10:11.292000;consolidation
tote-finished;835;2022-11-08 07:10:11.292000;consolidation
add-to-batch_13;806;2022-11-08 07:11:22.389000;buffer
add-to-batch_13;857;2022-11-08 07:12:32.932000;buffer
batch-pick-end;batch-11;2022-11-08 07:12:34.368000;buffer
batch-consolidate-start;batch-11;2022-11-08 07:12:34.368000;consolidation
tote-finished;171;2022-11-08 07:12:38.643000;consolidation
tote-finished;786;2022-11-08 07:12:46.581000;consolidation
tote-finished;865;2022-11-08 07:12:52.600000;consolidation
tote-finished;493;2022-11-08 07:12:57.423000;consolidation
tote-finished;911;2022-11-08 07:13:03.790000;consolidation
tote-finished;270;2022-11-08 07:13:08.135000;consolidation
add-to-batch_13;949;2022-11-08 07:13:12.170000;buffer
add-to-batch_13;101;2022-11-08 07:13:12.313000;buffer
tote-finished;609;2022-11-08 07:13:14.635000;consolidation
tote-finished;10;2022-11-08 07:13:19.831000;consolidation
add-to-batch_13;443;2022-11-08 07:13:21.915000;buffer
add-to-batch_13;624;2022-11-08 07:13:22.812000;buffer
tote-finished;618;2022-11-08 07:13:26.373000;consolidation
tote-finished;428;2022-11-08 07:13:30.353000;consolidation
add-to-batch_13;122;2022-11-08 07:13:34.882000;buffer
add-to-batch_13;825;2022-11-08 07:13:35.057000;buffer
batch-full;batch-13;2022-11-08 07:13:35.057000;buffer
batch-release;batch-13;2022-11-08 07:13:35.057000;buffer
batch-pick-start;batch-13;2022-11-08 07:13:35.057000;buffer
tote-finished;77;2022-11-08 07:13:36.336000;consolidation
batch-consolidate-end;batch-11;2022-11-08 07:13:42.274000;consolidation
tote-finished;868;2022-11-08 07:13:42.274000;consolidation
new-batch;batch-14;2022-11-08 07:14:54.969000;buffer
add-to-batch_14;814;2022-11-08 07:14:54.969000;buffer
add-to-batch_14;462;2022-11-08 07:15:09.398000;buffer
add-to-batch_14;329;2022-11-08 07:15:20.358000;buffer
batch-pick-end;batch-12;2022-11-08 07:15:35.237000;buffer
